-- DATABASE SCHEMA ANALYSIS - SmartSchools ERP
-- =====================================================

-- ALL TABLES WITH BASIC INFORMATION

| table_name                  | table_type | total_size | column_count | has_primary_key |
| --------------------------- | ---------- | ---------- | ------------ | --------------- |
| assignment_submissions      | BASE TABLE | 48 kB      | 11           | 1               |
| assignments                 | BASE TABLE | 112 kB     | 12           | 1               |
| attendance                  | BASE TABLE | 160 kB     | 10           | 1               |
| class_subject_assignments   | BASE TABLE | 104 kB     | 6            | 1               |
| classes                     | BASE TABLE | 72 kB      | 8            | 1               |
| exam_results                | BASE TABLE | 160 kB     | 11           | 1               |
| exams                       | BASE TABLE | 80 kB      | 11           | 1               |
| lesson_plans                | BASE TABLE | 112 kB     | 14           | 1               |
| notifications               | BASE TABLE | 56 kB      | 13           | 1               |
| profiles                    | BASE TABLE | 848 kB     | 16           | 1               |
| school_admin_accounts       | BASE TABLE | 48 kB      | 12           | 1               |
| school_details_view         | VIEW       | 0 bytes    | 23           | 0               |
| school_subscriptions        | BASE TABLE | 40 kB      | 13           | 1               |
| schools                     | BASE TABLE | 672 kB     | 24           | 1               |
| students                    | BASE TABLE | 1376 kB    | 21           | 1               |
| subjects                    | BASE TABLE | 56 kB      | 5            | 1               |
| super_admin_dashboard_stats | VIEW       | 0 bytes    | 17           | 0               |
| system_audit_log            | BASE TABLE | 56 kB      | 12           | 1               |
| system_settings             | BASE TABLE | 80 kB      | 9            | 1               |
| teacher_subject_assignments | BASE TABLE | 72 kB      | 9            | 1               |

-- ALL TABLES WITH COLUMN NAMES
| table_name                  | column_name              | data_type                   | is_nullable |
| --------------------------- | ------------------------ | --------------------------- | ----------- |
| assignment_submissions      | id                       | uuid                        | NO          |
| assignment_submissions      | assignment_id            | uuid                        | NO          |
| assignment_submissions      | student_id               | uuid                        | NO          |
| assignment_submissions      | submission_file_url      | text                        | YES         |
| assignment_submissions      | submission_file_name     | text                        | YES         |
| assignment_submissions      | submitted_at             | timestamp with time zone    | YES         |
| assignment_submissions      | marks_obtained           | numeric                     | YES         |
| assignment_submissions      | feedback                 | text                        | YES         |
| assignment_submissions      | graded_by                | uuid                        | YES         |
| assignment_submissions      | graded_at                | timestamp with time zone    | YES         |
| assignment_submissions      | created_at               | timestamp with time zone    | YES         |
| assignments                 | id                       | uuid                        | NO          |
| assignments                 | title                    | text                        | NO          |
| assignments                 | description              | text                        | YES         |
| assignments                 | subject_id               | uuid                        | YES         |
| assignments                 | class_id                 | uuid                        | YES         |
| assignments                 | file_url                 | text                        | NO          |
| assignments                 | file_name                | text                        | NO          |
| assignments                 | due_date                 | date                        | NO          |
| assignments                 | total_marks              | integer                     | NO          |
| assignments                 | created_by               | uuid                        | YES         |
| assignments                 | school_id                | uuid                        | YES         |
| assignments                 | created_at               | timestamp with time zone    | YES         |
| attendance                  | id                       | uuid                        | NO          |
| attendance                  | student_id               | uuid                        | NO          |
| attendance                  | class_id                 | uuid                        | NO          |
| attendance                  | date                     | date                        | NO          |
| attendance                  | status                   | text                        | NO          |
| attendance                  | remarks                  | text                        | YES         |
| attendance                  | marked_by                | uuid                        | NO          |
| attendance                  | school_id                | uuid                        | YES         |
